timestep,mismatch_rate,count
166,0.0,25
167,0.0,25
168,0.0,25
169,0.0,25
170,0.0,25
171,0.0,25
172,0.0,25
173,0.0,25
174,0.0,25
175,0.0,25
176,0.0,25
177,0.0,25
178,0.0,25
179,0.0,25
180,0.0,25
181,0.0,25
182,0.0,25
183,0.0,25
184,0.0,25
185,0.0,25
186,0.0,25
187,0.0,25
188,0.0,25
189,0.0,25
190,0.0,25
191,0.0,25
192,0.0,25
193,0.0,25
194,0.0,25
195,0.0,25
196,0.0,25
197,0.0,25
198,0.0,25
199,0.0,25
200,0.0,25
201,0.0,25
202,0.0,25
203,0.04,25
204,0.0,25
205,0.0,25
206,0.0,25
207,0.0,25
208,0.0,25
209,0.0,25
210,0.0,25
211,0.0,25
212,0.0,25
213,0.0,25
214,0.0,25
215,0.0,25
216,0.0,25
217,0.0,25
218,0.0,25
219,0.0,25
220,0.0,25
221,0.0,25
222,0.0,25
223,0.0,25
224,0.0,25
225,0.0,25
226,0.0,25
227,0.0,25
228,0.0,25
229,0.0,25
230,0.04,25
231,0.0,25
232,0.0,25
233,0.04,25
234,0.0,25
235,0.0,25
236,0.0,25
237,0.0,25
238,0.0,25
239,0.0,25
240,0.0,25
241,0.0,25
242,0.0,25
243,0.0,25
244,0.0,25
245,0.0,25
246,0.0,25
247,0.0,25
248,0.0,25
249,0.0,25
250,0.0,25
251,0.0,25
252,0.0,25
253,0.0,25
254,0.0,25
255,0.0,25
256,0.0,25
257,0.0,25
258,0.0,25
259,0.0,25
260,0.0,25
261,0.0,25
262,0.0,25
263,0.0,25
264,0.0,25
265,0.0,25
266,0.0,25
267,0.0,25
268,0.0,25
269,0.0,25
270,0.0,25
271,0.0,25
272,0.0,25
273,0.0,25
274,0.0,25
275,0.0,25
276,0.0,25
277,0.0,25
278,0.0,25
279,0.0,25
280,0.0,25
281,0.0,25
282,0.0,25
283,0.0,25
284,0.0,25
285,0.0,25
286,0.0,25
287,0.0,25
288,0.0,25
289,0.0,25
290,0.0,25
291,0.0,25
292,0.0,25
293,0.0,25
294,0.0,25
295,0.0,25
296,0.0,25
297,0.0,25
298,0.0,25
299,0.0,25
300,0.0,25
301,0.0,25
302,0.0,25
303,0.0,25
304,0.0,25
305,0.0,25
306,0.0,25
307,0.0,25
308,0.0,25
309,0.0,25
310,0.0,25
311,0.0,25
312,0.0,25
313,0.0,25
314,0.0,25
315,0.0,25
316,0.0,25
317,0.0,25
318,0.0,25
319,0.0,25
320,0.0,25
321,0.0,25
322,0.0,25
323,0.0,25
324,0.0,25
325,0.0,25
326,0.0,25
327,0.0,25
328,0.0,25
329,0.0,25
330,0.0,25
331,0.0,25
332,0.0,25
333,0.0,25
334,0.0,25
335,0.0,25
336,0.0,25
337,0.0,25
338,0.0,25
339,0.0,25
340,0.0,25
341,0.0,25
342,0.0,25
343,0.0,25
344,0.0,25
345,0.0,25
346,0.0,25
347,0.0,25
348,0.0,25
349,0.0,25
350,0.0,25
351,0.0,25
352,0.04,25
353,0.0,25
354,0.0,25
355,0.0,25
356,0.0,25
357,0.0,25
358,0.0,25
359,0.0,25
360,0.0,25
361,0.0,25
362,0.0,25
363,0.0,25
364,0.0,25
365,0.0,25
366,0.0,25
367,0.0,25
368,0.0,25
369,0.0,25
370,0.0,25
371,0.0,25
372,0.0,25
373,0.0,25
374,0.0,25
375,0.0,25
376,0.0,25
377,0.0,25
378,0.0,25
379,0.0,25
380,0.04,25
381,0.0,25
382,0.0,25
383,0.0,25
384,0.0,25
385,0.0,25
386,0.0,25
387,0.0,25
388,0.0,25
389,0.0,25
390,0.0,25
391,0.0,25
392,0.0,25
393,0.0,25
394,0.0,25
395,0.0,25
396,0.0,25
397,0.0,25
398,0.0,25
399,0.0,25
400,0.0,25
401,0.04,25
402,0.0,25
403,0.0,25
404,0.0,25
405,0.0,25
406,0.0,25
407,0.0,25
408,0.0,25
409,0.0,25
410,0.0,25
411,0.0,25
412,0.0,25
413,0.0,25
414,0.0,25
415,0.0,25
416,0.0,25
417,0.0,25
418,0.0,25
419,0.0,25
420,0.0,25
421,0.0,25
422,0.0,25
423,0.0,25
424,0.0,25
425,0.0,25
426,0.0,25
427,0.0,25
428,0.0,25
429,0.0,25
430,0.0,25
431,0.0,25
432,0.0,25
433,0.0,25
434,0.0,25
435,0.0,25
436,0.0,25
437,0.0,25
438,0.0,25
439,0.0,25
440,0.0,25
441,0.0,25
442,0.0,25
443,0.0,25
444,0.0,25
445,0.0,25
446,0.0,25
447,0.0,25
448,0.0,25
449,0.0,25
450,0.0,25
451,0.0,25
452,0.0,25
453,0.0,25
454,0.0,25
455,0.0,25
456,0.0,25
457,0.0,25
458,0.0,25
459,0.0,25
460,0.0,25
461,0.0,25
462,0.0,25
463,0.0,25
464,0.0,25
465,0.0,25
466,0.04,25
467,0.0,25
468,0.0,25
469,0.0,25
470,0.0,25
471,0.0,25
472,0.0,25
473,0.04,25
474,0.0,25
475,0.0,25
476,0.0,25
477,0.0,25
478,0.0,25
479,0.0,25
480,0.0,25
481,0.0,25
482,0.0,25
483,0.0,25
484,0.0,25
485,0.0,25
486,0.0,25
487,0.0,25
488,0.0,25
489,0.0,25
490,0.0,25
491,0.0,25
492,0.0,25
493,0.0,25
494,0.0,25
495,0.04,25
496,0.0,25
497,0.0,25
498,0.0,25
499,0.0,25
